Gene_ID	Gene_Name	AML_BDCM	AML_P31_FUJ	AML_PL-21	chondrosarcoma_CAL-78	chondrosarcoma_Hs819.T	chondrosarcoma_SW-1353
ENSG00000003393	ALS2	3.0	3.0	2.0	4.0	4.0	12.0
ENSG00000003400	CASP10	2.0	4.0	3.0	0.1	0.3	0.7
ENSG00000003402	CFLAR	7.0	7.0	9.0	2.0	3.0	2.0
ENSG00000003436	TFPI	0.1	0.1	0.2	5.0	1.0	2.0
ENSG00000003509	NDUFAF7	6.0	7.0	6.0	5.0	3.0	3.0
ENSG00000003756	RBM5	17.0	19.0	26.0	7.0	7.0	12.0
ENSG00000003987	MTMR7	0.2	3.0	4.0	0.6	0.2	0.3
ENSG00000003989	SLC7A2			3.0	0.9		1.0
ENSG00000004059	ARF5	39.0	40.0	43.0	37.0	30.0	56.0
ENSG00000004139	SARM1	1.0	0.4	0.8	0.7	0.5	0.7
ENSG00000004142	POLDIP2	52.0	52.0	27.0	51.0	27.0	42.0
ENSG00000004399	PLXND1		7.0	22.0	6.0	17.0	11.0
ENSG00000004455	AK2	58.0	119.0	80.0	46.0	14.0	24.0
ENSG00000004468	CD38	0.1	12.0	9.0	0.1		0.1
ENSG00000004478	FKBP4	29.0	45.0	29.0	30.0	11.0	15.0
ENSG00000004487	KDM1A	29.0	20.0	22.0	39.0	7.0	23.0
ENSG00000004534	RBM6	21.0	15.0	29.0	9.0	8.0	13.0
ENSG00000004660	CAMKK1	0.3	2.0	0.3	6.0	1.0	2.0
ENSG00000004700	RECQL	29.0	21.0	22.0	62.0	15.0	21.0
ENSG00000004766	VPS50	3.0	3.0	3.0	2.0	2.0	4.0
ENSG00000004776	HSPB6	0.3	0.3	1.0	2.0	177.0	0.9
ENSG00000004777	ARHGAP33	4.0	12.0	11.0	5.0	1.0	2.0
ENSG00000004779	NDUFAB1	49.0	38.0	23.0	17.0	13.0	19.0
ENSG00000004799	PDK4				5.0	0.4	0.3
ENSG00000004809	SLC22A16		2.0	12.0			
ENSG00000004838	ZMYND10	0.2	0.8	0.4	0.5	0.1	0.3
ENSG00000004846	ABCB5				0.1		0.2
ENSG00000004864	SLC25A13	7.0	28.0	9.0	5.0	2.0	20.0
ENSG00000004866	ST7	6.0	1.0	1.0	3.0	2.0	4.0
ENSG00000004897	CDC27	19.0	12.0	8.0	22.0	12.0	18.0
ENSG00000004948	CALCR						0.1
ENSG00000004961	HCCS	19.0	12.0	6.0	14.0	13.0	27.0
ENSG00000004975	DVL2	5.0	8.0	8.0	9.0	4.0	8.0
ENSG00000005001	PRSS22	0.2		0.1			
ENSG00000005007	UPF1	16.0	23.0	13.0	11.0	9.0	12.0
ENSG00000005020	SKAP2	8.0	14.0	4.0	31.0	6.0	10.0
ENSG00000005022	SLC25A5	310.0	253.0	202.0	177.0	53.0	159.0
ENSG00000005059	MCUB	9.0	3.0	2.0	16.0	3.0	3.0
ENSG00000005073	HOXA11				19.0	6.0	0.1
ENSG00000005075	POLR2J	25.0	45.0	28.0	22.0	15.0	31.0
ENSG00000005100	DHX33	12.0	12.0	9.0	11.0	3.0	9.0
ENSG00000005102	MEOX1	15.0					
ENSG00000005108	THSD7A				0.2		
ENSG00000005156	LIG3	4.0	6.0	4.0	2.0	2.0	3.0
ENSG00000005175	RPAP3	7.0	9.0	6.0	13.0	3.0	10.0
ENSG00000005187	ACSM3	0.5	0.1	2.0	0.3		0.3
ENSG00000005189	REXO5	3.0	14.0	10.0	2.0	0.6	2.0
ENSG00000005194	CIAPIN1	15.0	18.0	12.0	18.0	7.0	14.0
ENSG00000005206	SPPL2B	7.0	16.0	9.0	5.0	5.0	5.0
ENSG00000005238	FAM214B	2.0	3.0	1.0	6.0	10.0	8.0
ENSG00000005243	COPZ2	0.1	0.1	3.0	9.0	55.0	12.0
ENSG00000005249	PRKAR2B		20.0	1.0	0.7	0.1	8.0
ENSG00000005302	MSL3	11.0	5.0	7.0	4.0	3.0	6.0
ENSG00000005339	CREBBP	5.0	7.0	10.0	6.0	4.0	7.0
ENSG00000005379	TSPOAP1	2.0	124.0	2.0	0.7	0.1	0.2
ENSG00000005381	MPO		9.0	1367.0	0.4		0.1
ENSG00000005421	PON1				0.1		
ENSG00000005436	GCFC2	6.0	3.0	5.0	5.0	1.0	5.0
ENSG00000005448	WDR54	18.0	11.0	3.0	10.0	3.0	5.0
ENSG00000005469	CROT	4.0	1.0	1.0	4.0	3.0	4.0
ENSG00000005471	ABCB4	0.7					0.2
ENSG00000005483	KMT2E	9.0	18.0	14.0	13.0	5.0	11.0
ENSG00000005486	RHBDD2	7.0	19.0	10.0	13.0	13.0	14.0
ENSG00000005513	SOX8				0.1	0.1	0.1
ENSG00000005700	IBTK	11.0	9.0	8.0	14.0	9.0	16.0
ENSG00000005801	ZNF195	6.0	6.0	5.0	6.0	3.0	5.0
ENSG00000005810	MYCBP2	23.0	43.0	35.0	15.0	8.0	7.0
ENSG00000005812	FBXL3	4.0	14.0	6.0	15.0	6.0	6.0
ENSG00000005844	ITGAL	8.0	42.0	142.0			
ENSG00000005882	PDK2	3.0	4.0	0.1	3.0	2.0	2.0
ENSG00000005884	ITGA3	3.0	1.0	0.2	36.0	26.0	225.0
ENSG00000005889	ZFX	2.0	5.0	4.0	3.0	4.0	7.0
ENSG00000005893	LAMP2	17.0	53.0	59.0	106.0	35.0	66.0
ENSG00000005961	ITGA2B		0.3		0.2		0.2
ENSG00000005981	ASB4				0.1		
ENSG00000006007	GDE1	9.0	19.0	14.0	10.0	11.0	15.0
ENSG00000006015	REX1BD	4.0	18.0	7.0	4.0	5.0	3.0
ENSG00000006016	CRLF1	0.6	1.0	0.6	3.0	65.0	1.0
ENSG00000006025	AC003665.1	5.0	6.0	3.0	2.0	0.7	2.0
ENSG00000006042	TMEM98	0.1			3.0	9.0	3.0
ENSG00000006047	YBX2		0.1		0.1		0.1
ENSG00000006062	MAP3K14	5.0	0.9	1.0	8.0	2.0	8.0
ENSG00000006071	ABCC8		0.1				
ENSG00000006118	TMEM132A	0.8			4.0	1.0	8.0
ENSG00000006125	AP2B1	26.0	35.0	20.0	37.0	29.0	47.0
ENSG00000006128	TAC1				0.9		
ENSG00000006194	ZNF263	5.0	7.0	8.0	5.0	2.0	4.0
ENSG00000006282	SPATA20	7.0	14.0	2.0	6.0	13.0	9.0
ENSG00000006283	CACNA1G		0.2		0.2	0.1	0.4
ENSG00000006327	TNFRSF12A	0.2	4.0	3.0	98.0	86.0	74.0
ENSG00000006377	DLX6				3.0	0.6	2.0
ENSG00000006432	MAP3K9	2.0	0.9	0.1	1.0		0.1
ENSG00000006451	RALA	14.0	30.0	15.0	12.0	15.0	57.0
ENSG00000006453	BAIAP2L1	10.0	0.3	0.9	6.0	3.0	12.0
ENSG00000006459	KDM7A	0.6	10.0	6.0	1.0	1.0	3.0
ENSG00000006468	ETV1				6.0	0.4	0.6
ENSG00000006530	AGK	14.0	13.0	5.0	6.0	3.0	8.0
ENSG00000006534	ALDH3B1	0.2	7.0	12.0	2.0	6.0	9.0
ENSG00000006555	TTC22	0.5					
ENSG00000006576	PHTF2	7.0	6.0	4.0	10.0	5.0	10.0
ENSG00000006606	CCL26				3.0	0.9	3.0
ENSG00000006607	FARP2	4.0	0.7	1.0	2.0	2.0	3.0
ENSG00000006611	USH1C				2.0		0.1
ENSG00000006625	GGCT	34.0	25.0	43.0	21.0	4.0	19.0
ENSG00000006634	DBF4	11.0	15.0	13.0	9.0	0.9	10.0
ENSG00000006638	TBXA2R		0.1	0.3	0.6	0.8	0.4
ENSG00000006652	IFRD1	4.0	36.0	11.0	20.0	9.0	13.0
ENSG00000006659	LGALS14	3.0					0.1
ENSG00000006695	COX10	9.0	7.0	5.0	5.0	2.0	4.0
ENSG00000006704	GTF2IRD1	1.0			6.0	4.0	4.0
ENSG00000006712	PAF1	24.0	36.0	16.0	44.0	18.0	22.0
ENSG00000006715	VPS41	10.0	13.0	13.0	8.0	6.0	12.0
ENSG00000006740	ARHGAP44	1.0	0.1	0.1	2.0	0.1	0.3
ENSG00000006744	ELAC2	25.0	16.0	7.0	17.0	8.0	11.0
ENSG00000006747	SCIN			0.1	0.2		0.4
ENSG00000006756	ARSD	0.1	9.0	5.0	1.0	3.0	13.0
ENSG00000006757	PNPLA4	3.0	3.0	0.4		4.0	6.0
ENSG00000006788	MYH13				0.4		1.0
ENSG00000006831	ADIPOR2	20.0	33.0	47.0	31.0	8.0	17.0
ENSG00000006837	CDKL3	0.4	0.3	0.3	0.9	0.3	0.4
ENSG00000007001	UPP2		0.3				0.1
ENSG00000007038	PRSS21			22.0			
ENSG00000007047	MARK4	5.0	6.0	3.0	6.0	4.0	4.0
ENSG00000007080	CCDC124	48.0	44.0	24.0	28.0	25.0	29.0
ENSG00000007129	CEACAM21	10.0	3.0	0.3			0.1
ENSG00000007168	PAFAH1B1	16.0	20.0	15.0	28.0	19.0	27.0
ENSG00000007171	NOS2						0.1
ENSG00000007174	DNAH9	0.1					
ENSG00000007202	KIAA0100	30.0	32.0	25.0	25.0	24.0	30.0
ENSG00000007237	GAS7	0.5	21.0	19.0		0.2	0.2
ENSG00000007255	TRAPPC6A	24.0	70.0	9.0	8.0	3.0	2.0
ENSG00000007264	MATK	0.7	27.0				0.3
ENSG00000007312	CD79B	64.0	0.1		0.2	0.1	0.2
ENSG00000007314	SCN4A	0.1	1.0		0.1		
ENSG00000007341	ST7L	0.8	2.0	2.0	3.0	1.0	1.0
ENSG00000007350	TKTL1			0.1	0.7		11.0
ENSG00000007372	PAX6	0.1	0.5	0.4	0.5		1.0
ENSG00000007376	RPUSD1	8.0	10.0	10.0	8.0	3.0	8.0
ENSG00000007384	RHBDF1	0.1	0.5	0.5	5.0	15.0	7.0
ENSG00000007392	LUC7L	8.0	10.0	10.0	6.0	4.0	6.0
ENSG00000007402	CACNA2D2	0.1	0.2		0.1	0.2	0.1
ENSG00000007516	BAIAP3	0.1	0.1		0.5		0.3
ENSG00000007520	TSR3	25.0	19.0	16.0	35.0	22.0	20.0
ENSG00000007541	PIGQ	3.0	5.0	3.0	5.0	4.0	4.0
ENSG00000007545	CRAMP1	3.0	3.0	5.0	3.0	1.0	2.0
ENSG00000007866	TEAD3	0.1	0.2	3.0	6.0	8.0	6.0
ENSG00000007923	DNAJC11	15.0	6.0	10.0	9.0	5.0	10.0
ENSG00000007933	FMO3				0.4		0.1
ENSG00000007944	MYLIP	13.0	19.0	39.0	1.0	0.3	4.0
ENSG00000007952	NOX1	0.1	0.2	0.3		0.1	0.2
ENSG00000007968	E2F2	5.0	7.0	11.0	4.0	0.1	0.9
ENSG00000008018	PSMB1	87.0	62.0	52.0	58.0	34.0	56.0
ENSG00000008056	SYN1				0.1	0.1	0.1
ENSG00000008083	JARID2	8.0	21.0	22.0	7.0	2.0	15.0
ENSG00000008086	CDKL5	2.0	2.0	1.0	1.0	0.8	2.0
ENSG00000008118	CAMK1G					0.1	0.2
ENSG00000008128	CDK11A	2.0	3.0	4.0	2.0	2.0	1.0
ENSG00000008130	NADK	20.0	14.0	22.0	11.0	7.0	10.0
ENSG00000008226	DLEC1	0.2	0.3	0.1			0.1
ENSG00000008256	CYTH3	9.0	3.0	3.0	7.0	16.0	47.0
ENSG00000008277	ADAM22	6.0	6.0	0.2	0.5		0.1
ENSG00000008282	SYPL1	48.0	124.0	40.0	36.0	29.0	72.0
ENSG00000008283	CYB561	2.0	4.0	0.7	4.0	14.0	1.0
ENSG00000008294	SPAG9	7.0	10.0	8.0	14.0	16.0	18.0
ENSG00000008300	CELSR3	1.0	1.0	1.0	0.7	0.4	2.0
ENSG00000008311	AASS	3.0	6.0	0.1	2.0	1.0	9.0
ENSG00000008323	PLEKHG6	0.6	0.3	0.1	0.3	0.1	0.1
ENSG00000008324	SS18L2	24.0	15.0	16.0	8.0	4.0	7.0
ENSG00000008382	MPND	7.0	11.0	3.0	3.0	2.0	2.0
ENSG00000008394	MGST1	8.0	2.0	2.0	18.0	7.0	7.0
ENSG00000008405	CRY1	3.0	6.0	2.0	5.0	3.0	6.0
ENSG00000008438	PGLYRP1	0.2	0.9	0.6	0.2	0.1	0.1
ENSG00000008441	NFIX	0.2	5.0	1.0	25.0	33.0	25.0
ENSG00000008513	ST3GAL1	1.0	11.0	12.0	3.0	5.0	8.0
ENSG00000008516	MMP25	0.2	4.0	8.0	0.1	0.1	0.5
ENSG00000008517	IL32	6.0	0.4	44.0	1.0	0.8	3.0
ENSG00000008710	PKD1	3.0	8.0	14.0	13.0	15.0	7.0
ENSG00000008735	MAPK8IP2		1.0	0.1	0.2	0.1	0.1
ENSG00000008838	MED24	17.0	15.0	11.0	7.0	5.0	9.0
ENSG00000008853	RHOBTB2	6.0	6.0	6.0	4.0	2.0	3.0
ENSG00000008869	HEATR5B	9.0	8.0	7.0	4.0	3.0	5.0
ENSG00000008952	SEC62	16.0	24.0	17.0	17.0	20.0	19.0
ENSG00000008988	RPS20	224.0	191.0	616.0	160.0	63.0	135.0
ENSG00000009307	CSDE1	108.0	106.0	107.0	179.0	86.0	111.0
ENSG00000009335	UBE3C	13.0	8.0	12.0	13.0	12.0	28.0
ENSG00000009413	REV3L	5.0	5.0	5.0	5.0	3.0	6.0
ENSG00000009694	TENM1				0.4		2.0
ENSG00000009709	PAX7						0.1
ENSG00000009724	MASP2	0.8	1.0	2.0	0.3	0.3	0.5
ENSG00000009780	FAM76A	2.0	2.0	1.0	6.0	1.0	2.0
ENSG00000009790	TRAF3IP3	14.0	13.0	21.0	0.1		0.1
ENSG00000009830	POMT2	1.0	2.0	1.0	6.0	2.0	6.0
ENSG00000009844	VTA1	7.0	11.0	8.0	8.0	6.0	9.0
ENSG00000009950	MLXIPL			0.1	0.3		
ENSG00000009954	BAZ1B	28.0	45.0	37.0	23.0	12.0	36.0
ENSG00000010017	RANBP9	14.0	29.0	34.0	32.0	24.0	15.0
ENSG00000010030	ETV7	4.0	1.0	0.1	0.5	0.6	0.9
ENSG00000010072	SPRTN	2.0	4.0	3.0	3.0	1.0	3.0
ENSG00000010165	EEF1AKNMT	20.0	19.0	15.0	10.0	7.0	10.0
ENSG00000010219	DYRK4	2.0	2.0	3.0	3.0	1.0	2.0
ENSG00000010244	ZNF207	19.0	16.0	15.0	11.0	6.0	12.0
ENSG00000010256	UQCRC1	64.0	59.0	50.0	35.0	23.0	47.0
ENSG00000010270	STARD3NL	22.0	7.0	13.0	13.0	6.0	15.0
ENSG00000010278	CD9	2.0	0.3	0.3	17.0	30.0	8.0
ENSG00000010292	NCAPD2	42.0	37.0	92.0	47.0	6.0	31.0
ENSG00000010295	IFFO1	4.0	7.0	16.0	12.0	11.0	4.0
ENSG00000010310	GIPR	10.0	3.0	2.0	1.0	0.1	0.5
ENSG00000010318	PHF7	2.0	8.0	10.0	3.0	0.6	2.0
ENSG00000010319	SEMA3G		2.0	1.0	0.2		0.1
ENSG00000010322	NISCH	11.0	15.0	24.0	10.0	11.0	10.0
ENSG00000010327	STAB1					0.1	
ENSG00000010361	FUZ	3.0	5.0	2.0	4.0	1.0	3.0
ENSG00000010379	SLC6A13		0.1				0.8
ENSG00000010404	IDS	9.0	15.0	4.0	23.0	9.0	17.0
ENSG00000010438	PRSS3	0.1			0.1	0.1	
ENSG00000010539	ZNF200	1.0	5.0	2.0	2.0	0.6	2.0
ENSG00000010610	CD4	0.1	43.0	28.0	0.3	0.4	2.0
ENSG00000010626	LRRC23	2.0	5.0	2.0	1.0	1.0	2.0
ENSG00000010671	BTK	41.0	23.0	21.0	0.1		0.1
ENSG00000010704	HFE	1.0	0.1	0.1	2.0	4.0	3.0
ENSG00000010803	SCMH1	13.0	15.0	19.0	15.0	5.0	11.0
ENSG00000010810	FYN	54.0	17.0	21.0	14.0	12.0	11.0
ENSG00000010818	HIVEP2	7.0	7.0	1.0	7.0	4.0	10.0
ENSG00000011007	ELOA	11.0	7.0	6.0	25.0	9.0	13.0
ENSG00000011009	LYPLA2	28.0	23.0	20.0	26.0	10.0	17.0
ENSG00000011021	CLCN6	7.0	8.0	6.0	6.0	2.0	6.0
ENSG00000011028	AC080038.1	0.9	38.0		56.0	116.0	38.0
ENSG00000011052	NME1-NME2	3.0	0.9	0.9	2.0	2.0	0.3
ENSG00000011083	SLC6A7				0.1		
ENSG00000011105	TSPAN9	0.1	3.0		8.0	4.0	7.0
ENSG00000011114	BTBD7	3.0	3.0	3.0	9.0	3.0	6.0
ENSG00000011132	APBA3	4.0	4.0	2.0	2.0	2.0	2.0
ENSG00000011143	MKS1	7.0	5.0	3.0	3.0	1.0	4.0
ENSG00000011198	ABHD5	4.0	4.0	3.0	8.0	4.0	22.0
ENSG00000011201	ANOS1	0.5	0.2	0.2	3.0	0.1	2.0
ENSG00000011243	AKAP8L	9.0	16.0	17.0	8.0	5.0	6.0
ENSG00000011258	MBTD1	4.0	9.0	9.0	3.0	0.9	3.0
ENSG00000011260	UTP18	33.0	20.0	18.0	23.0	6.0	16.0
ENSG00000011275	RNF216	9.0	5.0	9.0	7.0	6.0	23.0
ENSG00000011295	TTC19	7.0	12.0	9.0	12.0	4.0	6.0
ENSG00000011304	PTBP1	59.0	85.0	70.0	47.0	21.0	42.0
ENSG00000011332	DPF1	0.6	1.0		3.0	0.2	0.5
ENSG00000011347	SYT7				0.1	0.1	1.0
ENSG00000011376	LARS2	14.0	9.0	6.0	4.0	4.0	6.0
ENSG00000011405	PIK3C2A	5.0	6.0	5.0	30.0	6.0	14.0
ENSG00000011422	PLAUR	2.0	10.0	8.0	21.0	14.0	16.0
ENSG00000011426	ANLN	9.0	7.0	30.0	51.0	8.0	65.0
ENSG00000011451	WIZ	4.0	7.0	4.0	8.0	6.0	7.0
ENSG00000011454	RABGAP1	7.0	5.0	3.0	8.0	13.0	6.0
ENSG00000011465	DCN				27.0	37.0	1.0
ENSG00000011478	QPCTL	12.0	15.0	5.0	17.0	4.0	9.0
ENSG00000011485	PPP5C	16.0	18.0	12.0	9.0	6.0	7.0
ENSG00000011523	CEP68	2.0	3.0	3.0	4.0	1.0	3.0
ENSG00000011566	MAP4K3	0.7	3.0	4.0	6.0	5.0	7.0
ENSG00000011590	ZBTB32	13.0	0.2	0.1	0.1	0.1	0.1
ENSG00000011600	TYROBP	0.1	81.0	117.0			
ENSG00000011638	TMEM159	7.0	15.0	3.0	1.0	8.0	10.0
ENSG00000011677	GABRA3				22.0		23.0
ENSG00000012048	BRCA1	7.0	15.0	10.0	6.0	0.9	6.0
ENSG00000012061	ERCC1	7.0	22.0	19.0	13.0	6.0	8.0
ENSG00000012124	CD22	78.0	0.9		0.1		1.0
ENSG00000012171	SEMA3B		0.4	0.1	5.0	5.0	7.0
ENSG00000012174	MBTPS2	2.0	3.0	3.0	5.0	5.0	11.0
ENSG00000012211	PRICKLE3	4.0	5.0	2.0	3.0	1.0	2.0
ENSG00000012223	LTF		0.7		0.2	0.2	4.0
ENSG00000012232	EXTL3	3.0	3.0	4.0	4.0	3.0	11.0
ENSG00000012504	NR1H4						0.2
ENSG00000012660	ELOVL5	41.0	45.0	59.0	88.0	42.0	47.0
ENSG00000012779	ALOX5	10.0	27.0	0.3			
ENSG00000012817	KDM5D	15.0	6.0	9.0	6.0		
ENSG00000012822	CALCOCO1	4.0	5.0	6.0	8.0	15.0	15.0
ENSG00000012963	UBR7	21.0	29.0	18.0	46.0	5.0	12.0
ENSG00000012983	MAP4K5	6.0	8.0	6.0	9.0	10.0	13.0
ENSG00000013016	EHD3	2.0			6.0	5.0	7.0
ENSG00000013275	PSMC4	46.0	46.0	25.0	76.0	23.0	27.0
ENSG00000013288	MAN2B2	3.0	13.0	12.0	10.0	12.0	14.0
ENSG00000013293	SLC7A14					0.2	
ENSG00000013297	CLDN11	0.1	0.1	0.1	0.4	1.0	0.3
ENSG00000013306	SLC25A39	33.0	19.0	5.0	17.0	13.0	27.0
ENSG00000013364	MVP	15.0	2.0	3.0	21.0	39.0	30.0
ENSG00000013374	NUB1	29.0	14.0	17.0	19.0	10.0	20.0
ENSG00000013375	PGM3	5.0	6.0	6.0	12.0	15.0	14.0
ENSG00000013392	RWDD2A	2.0	2.0	2.0	2.0	2.0	2.0
ENSG00000013441	CLK1	12.0	15.0	14.0	20.0	8.0	12.0
ENSG00000013503	POLR3B	5.0	5.0	2.0	3.0	3.0	4.0
ENSG00000013523	ANGEL1	6.0	11.0	7.0	5.0	1.0	4.0
ENSG00000013561	RNF14	10.0	13.0	5.0	18.0	11.0	13.0
ENSG00000013563	DNASE1L1	2.0	2.0	3.0	11.0	10.0	17.0
ENSG00000013573	DDX11	9.0	12.0	36.0	19.0	2.0	5.0
ENSG00000013583	HEBP1	0.1	11.0	15.0	11.0	15.0	12.0
ENSG00000013588	GPRC5A	0.8	0.1	0.1	16.0	1.0	15.0
ENSG00000013619	MAMLD1				6.0	4.0	3.0
ENSG00000013725	CD6	0.2	0.2				0.2
ENSG00000013810	TACC3	21.0	20.0	34.0	19.0	2.0	13.0
ENSG00000014123	UFL1	24.0	14.0	16.0	10.0	6.0	15.0
ENSG00000014138	POLA2	11.0	13.0	8.0	10.0	2.0	6.0
ENSG00000014164	ZC3H3	5.0	5.0	10.0	3.0	2.0	3.0
ENSG00000014216	CAPN1	27.0	20.0	14.0	10.0	18.0	16.0
ENSG00000014257	ACPP		7.0	3.0			0.2
ENSG00000014641	MDH1	64.0	31.0	29.0	53.0	16.0	26.0
ENSG00000014824	SLC30A9	9.0	12.0	13.0	10.0	7.0	12.0
ENSG00000014914	MTMR11	0.1	0.2	0.6	2.0	3.0	4.0
ENSG00000014919	COX15	17.0	24.0	10.0	8.0	6.0	11.0
ENSG00000015133	CCDC88C	8.0	6.0	5.0	0.2		0.3
ENSG00000015153	YAF2	2.0	3.0	2.0	2.0	1.0	0.9
ENSG00000015171	ZMYND11	10.0	17.0	8.0	18.0	15.0	23.0
ENSG00000015285	WAS	30.0	42.0	62.0		0.1	0.3
ENSG00000015413	DPEP1		0.1				
ENSG00000015475	BID	18.0	16.0	14.0	5.0	3.0	3.0
ENSG00000015479	MATR3	1.0	0.7	0.4	1.0	0.4	0.7
ENSG00000015520	NPC1L1		0.1	0.1	0.1		
ENSG00000015532	XYLT2	6.0	7.0	3.0	7.0	11.0	11.0
ENSG00000015568	RGPD5	0.1	0.1				0.1
ENSG00000015592	STMN4	0.1					
ENSG00000015676	NUDCD3	9.0	14.0	10.0	8.0	7.0	15.0
ENSG00000016082	ISL1				0.2		0.7
ENSG00000016391	CHDH	0.4		0.1	0.1	0.1	0.1
ENSG00000016490	CLCA1						0.1
ENSG00000016602	CLCA4						0.1
ENSG00000016864	GLT8D1	13.0	14.0	14.0	14.0	19.0	13.0
ENSG00000017260	ATP2C1	16.0	17.0	15.0	24.0	14.0	16.0
ENSG00000017427	IGF1	0.1				0.1	
ENSG00000017483	SLC38A5	15.0	18.0	10.0	0.2	12.0	0.2
ENSG00000017797	RALBP1	26.0	20.0	17.0	42.0	15.0	23.0
ENSG00000018189	RUFY3	1.0	3.0	4.0	10.0	4.0	7.0
ENSG00000018236	CNTN1				0.3		0.1
ENSG00000018280	SLC11A1	0.1	0.6	0.4	0.1		0.1
ENSG00000018408	WWTR1	2.0		0.1	10.0	9.0	8.0
ENSG00000018510	AGPS	11.0	16.0	14.0	15.0	6.0	18.0
ENSG00000018607	ZNF806						0.1
ENSG00000018610	CXorf56	10.0	12.0	9.0	12.0	4.0	8.0
ENSG00000018625	ATP1A2				0.1		2.0
ENSG00000018699	TTC27	13.0	7.0	5.0	8.0	4.0	6.0
ENSG00000018869	ZNF582	0.2	2.0	0.3	2.0	0.5	2.0
ENSG00000019102	VSIG2		4.0	0.5	0.1		0.4
ENSG00000019144	PHLDB1		0.7		3.0	6.0	8.0
ENSG00000019169	MARCO		0.8	3.0			
ENSG00000019186	CYP24A1				0.1		0.1
ENSG00000019485	PRDM11	0.3	0.6	0.1	0.4	0.2	0.4
ENSG00000019505	SYT13				0.1		
ENSG00000019549	SNAI2				29.0	23.0	40.0
ENSG00000019582	CD74	520.0	167.0	23.0	0.8	1.0	0.2
ENSG00000019991	HGF		9.0	14.0	0.1	0.2	
ENSG00000019995	ZRANB1	3.0	4.0	3.0	8.0	3.0	4.0
ENSG00000020129	NCDN	7.0	9.0	7.0	19.0	12.0	6.0
ENSG00000020181	ADGRA2		5.0	35.0	1.0	14.0	10.0
ENSG00000020256	ZFP64	5.0	2.0	2.0	2.0	2.0	2.0
ENSG00000020426	MNAT1	6.0	7.0	5.0	5.0	5.0	6.0
ENSG00000020577	SAMD4A	2.0			3.0	6.0	8.0
ENSG00000020633	RUNX3	42.0	16.0	1.0	11.0	2.0	0.5
ENSG00000020922	MRE11	11.0	25.0	13.0	7.0	2.0	5.0
ENSG00000021300	PLEKHB1	0.7			0.4	0.1	
ENSG00000021355	SERPINB1	5.0	102.0	129.0	10.0	7.0	12.0
ENSG00000021488	SLC7A9						0.1
ENSG00000021574	SPAST	5.0	6.0	5.0	6.0	2.0	4.0
ENSG00000021645	NRXN3	4.0		0.1	0.3	0.1	2.0
ENSG00000021762	OSBPL5		14.0	8.0	8.0	4.0	3.0
ENSG00000021776	AQR	8.0	6.0	5.0	6.0	3.0	5.0
